exp_name	q	stim	selected_m	selected_alpha	xrmse	auc	cc	tau
32_pop_isol_stim_full_inb_1_new	486.90625	20	5	0.6	0.0276035878437532	1.0	0.9311134847789058	3.4997525953449404
32_pop_isol_stim_full_inb_1_new	486.90625	28	5	0.8	0.0444914609083808	0.8948412698412699	0.5677145678163767	8.685702311381494
60_pop_stim_isol	45.266666666666666	4	50	0.2	0.1381674484609629	0.5		-17.32129963898917
60_pop_stim_isol	45.266666666666666	13	50	0.2	0.1669832037902548	0.5	0.0941707621545613	-16.23507462686567
60_pop_stim_isol	45.266666666666666	17	50	0.2	0.2956864972958964	0.5		-13.12466843501326
60_pop_stim_isol	45.266666666666666	23	50	0.2	0.2999604903132621	0.5		-15.55882352941176
60_pop_stim_isol	45.266666666666666	34	50	0.8	0.2898320029214823	1.0	0.6899256968716316	6.6710101917304
60_pop_stim_isol	45.266666666666666	39	50	0.8	0.1888793315161704	1.0	0.7765123812170335	11.53027856831272
60_pop_stim_isol	45.266666666666666	41	50	0.8	0.0844593884151048	1.0	0.7530280477141916	12.149856128116504
60_pop_stim_isol	45.266666666666666	51	50	0.8	0.2268716623986895	1.0	0.7474893804585312	7.386906518564667
60_pop_stim_isol	45.266666666666666	55	50	0.8	0.2203598793046235	1.0	0.7709141474113014	10.757318928019368
60_pop_stim_isol	45.266666666666666	59	50	0.2	0.0640101798654334	0.9971941638608306	0.454383346866364	15.217634099614935
8_pop_stim_full_inh_3	151.25	1	25	1.0	0.3741093739966802	0.8	0.4426440165302314	-0.7147069698438966
8_pop_stim_full_inh_3	151.25	5	25	0.1	0.7926992551470772	0.5		-18.91512915129151
8_pop_stim_full_inh_3	151.25	7	25	1.0	0.1775498671737302	1.0	0.8994090249542815	1.6956196904746277
60_pop_stim_full_inh_1	30.1	1	1	0.8	0.0638421520968988	1.0	0.5972169100717041	4.417174590274956
60_pop_stim_full_inh_1	30.1	8	1	0.8	0.128058751247277	0.9166666666666669	0.4227405951794171	6.950831977980734
60_pop_stim_full_inh_1	30.1	24	1	0.8	0.3593015794476295	0.1271186440677966	-0.0101338861437561	1.9954805779137808
60_pop_stim_full_inh_1	30.1	37	1	0.8	0.0237813625966363	0.5667613636363636	0.6311050212325101	11.84180219686861
60_pop_stim_full_inh_1	30.1	46	1	0.8	0.1798663425112542	0.5603448275862069	-0.0789374645900107	4.190993418611031
60_pop_stim_full_inh__isol_pto_1	178.58333333333334	11	50	0.5	0.1584489471335591	1.0	0.8015597496219373	0.5482520694563215
60_pop_stim_full_inh__isol_pto_1	178.58333333333334	14	50	0.5	0.1101444811588082	0.998015873015873	0.713070559724057	0.8317989591069452
60_pop_stim_full_inh__isol_pto_1	178.58333333333334	19	50	0.8	0.0533137356497133	0.6148148148148147	0.8236288486724942	6.286653316794674
16_pop_stim_full_inh_1	420.625	3	25	1.0	0.1012178495330202	1.0	0.3302981379068381	2.437971213159699
16_pop_stim_full_inh_1	420.625	9	25	1.0	0.2285266411485318	1.0	-0.0700656317131651	1.984162970387356
16_pop_stim_full_inh_1	420.625	15	25	1.0	0.06162615022461	1.0	0.937639699843533	-0.0082642023393261
32_pop_stim_full_inh	70.0	0	50	1.0	0.0949186152644886	1.0	0.656473852251368	-0.4135774471966973
32_pop_stim_full_inh	70.0	4	50	0.2	0.2668594071025023	1.0	0.3743253323645964	4.191843188701968
32_pop_stim_full_inh	70.0	19	50	1.0	0.1970927689292638	1.0	0.6431994003066124	2.7829691665846115
32_pop_stim_full_inh	70.0	22	50	1.0	0.0993401966194243	1.0	0.5847506720249576	2.3478583079251303
32_pop_stim_full_inh	70.0	24	50	1.0	0.2063694179605738	1.0	0.5464341101136174	2.3949400505550287
4_pop_full_inh_pto_3	830.0	0	25	1.0	0.2900536116076575	0.5	-0.7098035788263647	22.95177507384792
4_pop_full_inh_pto_3	830.0	2	25	1.0	0.2420649303303392	1.0	0.7070789532150662	-0.8616015254569589
4_pop_full_inh_pto_3	830.0	3	25	1.0	0.3211051665624367	1.0	0.5372272282829347	0.0197501389388141
8_pop_stim_1	293.25	2	25	0.9	0.1711045113341666	0.6666666666666666	-0.1077188847578379	9.824886277174972
8_pop_stim_1	293.25	4	25	1.0	0.2810507844437256	0.5	-0.1618652703884248	6.4730330678424135
8_pop_stim_1	293.25	7	25	0.2	0.2081797686053384	1.0	0.9332981710791314	3.6775293906508657
32_pop_full_inh_pto_2	121.625	7	2	1.0	0.0747305342770403	1.0	0.7104196524248823	13.78402845134174
32_pop_full_inh_pto_2	121.625	28	2	1.0	0.063770423241264	1.0	0.7981875751142568	2.954392408937864
32_pop_full_inh_pto_2	121.625	29	2	1.0	0.0954040292413145	1.0	0.5907500693354544	5.456020278833967
8_pop_full_inh_pto_6	253.75	0	1	0.7	0.1639860529703886	1.0	-0.4277178502925974	3.459398190620149
8_pop_full_inh_pto_6	253.75	1	1	1.0	0.1327066665667344	1.0	0.6822063402539416	4.883021003936708
8_pop_full_inh_pto_6	253.75	7	1	1.0	0.1730064665419252	0.0	-0.4047077930165927	5.79664326936806
60_pop_stim_full_inh_isol_1	65.88333333333334	27	2	0.2	0.1658962499341665	0.5		-6.443890274314214
60_pop_stim_full_inh_isol_1	65.88333333333334	50	2	0.8	0.3270811262443419	0.965925925925926	0.8644696576317171	1.2578715008336427
60_pop_stim_full_inh_isol_1	65.88333333333334	55	2	0.8	0.1794425167030883	0.9005681818181819	0.7931322097648419	2.2225272220405308
60_pop_stim_full_inh_isol_1	65.88333333333334	57	2	0.2	0.1084248288754862	1.0	0.6136463860971715	0.7499969871709304
60_pop_stim_full_inh_isol_1	65.88333333333334	59	2	0.8	0.1969131944903009	0.9983633387888708	0.8169712644074377	3.717033418111035
8_pop_full_inh_pto_1	326.0	2	25	1.0	0.1777302321279131	0.8333333333333334	0.4335729971427205	-1.5979361806685557
8_pop_full_inh_pto_1	326.0	6	25	1.0	0.2017982962109227	1.0	0.6964083966960585	0.0429223852735025
8_pop_full_inh_pto_1	326.0	7	25	1.0	0.0810925551286594	1.0	0.9801986536662262	12.666772943277998
8_pop_stim_isol_full_inh_1	69.875	1	10	1.0	0.2930212242083976	0.6666666666666666	0.367803464128925	-2.563555068214477
8_pop_stim_isol_full_inh_1	69.875	2	10	0.9	0.2871260503545831	0.4666666666666666	-0.1259354474811668	-11.161237206003644
8_pop_stim_isol_full_inh_1	69.875	7	10	0.1	0.7491878963792482	0.5		-38.27743271221532
60_pop_stim_full_inh_2	13.233333333333333	7	1	0.8	0.2462612900987288	1.0	0.5806943166578132	2.6482060717571305
60_pop_stim_full_inh_2	13.233333333333333	27	1	0.8	0.0414215882843334	0.6711111111111111	0.4011667760496945	11.267897414871074
60_pop_stim_full_inh_2	13.233333333333333	34	1	0.8	0.3680628058960705	0.6610169491525424	0.3424243000725365	-13.218320610687025
60_pop_stim_full_inh_2	13.233333333333333	39	1	0.8	0.1296112891642571	1.0	0.3047643544496399	5.53124466078626
60_pop_stim_full_inh_2	13.233333333333333	41	1	0.8	0.4077347319746321	0.8947368421052632	0.0736014047598209	1.5058437518962244
32_pop_stim_full_inh_1	13.375	2	25	1.0	0.1084599429687855	0.7419354838709677	0.0302657449587511	12.816116647939849
32_pop_stim_full_inh_1	13.375	19	25	0.8	0.243109802167075	0.9375	0.1090133800763435	4.012087912087912
32_pop_stim_full_inh_1	13.375	20	25	1.0	0.2635745713983647	0.3709677419354839	0.3562473398279768	1.0689472882683977
8_pop_stim_full_inh_2	260.25	1	25	0.1	0.509890268553759	0.5		-18.65699208443272
8_pop_stim_full_inh_2	260.25	5	25	0.4	0.1440519320662726	1.0	0.6972777011996583	1.888135895099965
8_pop_stim_full_inh_2	260.25	6	25	0.8	0.1457891134113751	1.0	0.6421031667357013	1.946977730646872
4_pop_full_inh_pto_2	99.5	0	25	1.0	0.3313946627565226	0.5	0.1219283874149388	1.6265803659040676
4_pop_full_inh_pto_2	99.5	1	25	1.0	0.3207794372721703	1.0	0.2450271661120691	3.1521047705571856
4_pop_full_inh_pto_2	99.5	2	25	1.0	0.4194954268682802	1.0	0.4028508808958443	0.2635012580983307
32_pop_stim_isol_full_inh_1	246.25	14	5	1.0	0.126541588648091	0.99609375	0.7999197981646233	1.603400094694737
32_pop_stim_isol_full_inh_1	246.25	16	5	1.0	0.1076257921895072	1.0	0.7968330894697566	2.95336877147375
32_pop_stim_isol_full_inh_1	246.25	20	5	1.0	0.1139047320934103	0.8526570048309179	0.6980822144719456	-0.2394367253682195
8_pop_stim	629.875	1	2	1.0	0.2109930971954995	1.0	0.8117234700556442	8.544773161700427
8_pop_stim	629.875	4	2	0.7	0.1850894894075468	1.0	0.5989730954487394	2.476399588412072
8_pop_stim	629.875	5	2	1.0	0.3026558769021788	1.0	0.4628534820304831	1.044948658264754
16_pop_stim_isol_full_inh_2	335.6875	0	5	0.8	0.2695471377662282	0.9727272727272728	0.9638838727113944	4.519458556224381
16_pop_stim_isol_full_inh_2	335.6875	5	5	0.3	0.1832106293690587	1.0	0.7519958965381601	2.967660579207204
16_pop_stim_isol_full_inh_2	335.6875	6	5	0.8	0.1303280919096864	1.0	0.9944731454391194	2.1184623703040546
4_pop_stim_full_inh_2	912.25	0	1	0.6	0.3998009763158242	1.0	0.8678852347119648	3.364681217373864
4_pop_stim_full_inh_2	912.25	1	1	0.8	0.2209416514760082	0.875	-0.2106978001440942	-3.679775280898876
